Price,Close,High,Low,Open,Volume,returns,log_returns,volatility_20,momentum_20,drawdown
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,,
Date,,,,,,,,,,
2021-12-20,16614.19921875,16840.099609375,16410.19921875,16824.25,330600,-0.021842546279377872,-0.022084626281366433,0.012439086895696533,-0.04606833882193151,-0.10081974577838852
2021-12-21,16770.849609375,16936.400390625,16688.25,16773.150390625,241000,0.00942870544420904,0.009384532645495392,0.012614203995248775,-0.041849132671592404,-0.09234164002008403
2021-12-22,16955.44921875,16971.0,16819.5,16865.55078125,207900,0.011007170994593363,0.010947032985081793,0.012921178551899594,-0.0263910549715326,-0.08235088924711292
2021-12-23,17072.599609375,17118.650390625,17015.55078125,17066.80078125,197000,0.006909306212627531,0.006885546336514033,0.01291950508669646,-0.026439540416280605,-0.07601057054517586
2021-12-24,17003.75,17155.599609375,16909.599609375,17149.5,182600,-0.004032754879180422,-0.0040409083631890875,0.011178440040993025,-0.0013331739611922577,-0.0797367934251209
2021-12-27,17086.25,17112.05078125,16833.19921875,16937.75,144800,0.004851870910828504,0.004840138519222991,0.011226491147817541,0.0018940352662999427,-0.0752717951428345
2021-12-28,17233.25,17250.25,17161.150390625,17177.599609375,176000,0.008603409174043453,0.008566610759914585,0.011330866727582274,0.014723420365577278,-0.06731598002166962
2021-12-29,17213.599609375,17285.94921875,17176.650390625,17220.099609375,161700,-0.0011402602889762914,-0.00114091088034896,0.011086926297552768,0.0027203058028753,-0.06837948257181364
2021-12-30,17203.94921875,17264.05078125,17146.349609375,17201.44921875,320800,-0.0005606259494814747,-0.0005607831589689821,0.010623212765997222,-0.011361058717827666,-0.06890177320895326
2021-12-31,17354.05078125,17400.80078125,17238.5,17244.5,167000,0.008724831757606522,0.008686990360265219,0.010467513405377193,0.009150102615531841,-0.0607780978303956
2022-01-03,17625.69921875,17646.650390625,17383.30078125,17387.150390625,200500,0.015653315812207858,0.015532066331647875,0.010179229862583794,0.04218535196381312,-0.04607616077799213
